나라,1차 접종률(%),날짜
Namibia,4.1,2021_06_22
Ukraine,3.95,2021_06_22
Venezuela,3.79,"['Jun', '18,']"
Guatemala,3.69,"['Jun', '19,']"
South Africa,3.61,"['Jun', '19,']"
Bangladesh,3.54,"['Jun', '19,']"
Togo,3.27,"['Jun', '10,']"
Myanmar,3.26,"['May', '13,']"
Egypt,3.24,2021_06_22
Eswatini,3.04,"['May', '13,']"
Senegal,2.87,"['Jun', '15,']"
Mauritania,2.77,2021_06_22
Cote d'Ivoire,2.75,2021_06_22
Ghana,2.74,2021_06_22
Rwanda,2.71,"['Jun', '6,']"
Angola,2.64,2021_06_22
Guinea,2.56,"['Jun', '17,']"
Nicaragua,2.53,"['May', '21,']"
Solomon Islands,2.47,"['Jun', '8,']"
Africa,2.44,2021_06_22
Vietnam,2.36,2021_06_22
Malawi,2.0,"['Jun', '19,']"
Kenya,1.85,2021_06_22
Uganda,1.8,"['Jun', '16,']"
Lesotho,1.71,"['May', '21,']"
Vanuatu,1.67,"['Jun', '15,']"
Ethiopia,1.65,"['Jun', '8,']"
Armenia,1.57,"['Jun', '6,']"
Kyrgyzstan,1.35,"['Jun', '9,']"
Liberia,1.35,2021_06_22
Gabon,1.32,"['Jun', '18,']"
Djibouti,1.27,"['Jun', '1,']"
Gambia,1.26,"['Jun', '8,']"
Afghanistan,1.25,"['Jun', '14,']"
Iraq,1.23,"['Jun', '14,']"
Sudan,1.16,2021_06_22
Sierra Leone,1.03,2021_06_22
Mozambique,1.02,"['Jun', '10,']"
Guinea-Bissau,0.95,"['Jun', '8,']"
Nigeria,0.95,"['Jun', '4,']"
Tajikistan,0.93,"['Jun', '13,']"
Somalia,0.85,"['Jun', '18,']"
Central African Republic,0.85,"['Jun', '15,']"
Yemen,0.84,2021_06_22
Zambia,0.77,"['Jun', '15,']"
Niger,0.71,"['Jun', '14,']"
Madagascar,0.68,2021_06_22
Mali,0.64,2021_06_22
Turkmenistan,0.53,"['Apr', '4,']"
Papua New Guinea,0.43,"['Jun', '7,']"
Syria,0.41,"['Jun', '6,']"
Congo,0.41,"['May', '18,']"
Cameroon,0.3,2021_06_22
South Sudan,0.24,2021_06_22
Benin,0.18,"['Jun', '8,']"
Burkina Faso,0.09,"['Jun', '14,']"
Democratic Republic of Congo,0.05,2021_06_22
Chad,0.03,"['Jun', '10,']"
